P1281	WOEID	0
P1282	OpenStreetMap tag or key	0
P1283	filmography	0
P1284	Munzinger IBA	0
P1285	Munzinger Sport	0
P1286	Munzinger Pop identifier	0
P1287	KDG Komponisten der Gegenwart	0
P1288	KLG Kritisches Lexikon der Gegenwartsliteratur	0
P1289	KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur	0
P129	physically interacts with	0
P1290	godparent	0
P1291	Association Authors of Switzerland ID	0
P1292	DNB editions	0
P1293	Royal Aero Club Aviator's Certificate ID	0
P1294	WWF ecoregion code	0
P1295	emissivity	1
P1296	Gran Enciclopèdia Catalana ID	0
P1297	IRS Employer Identification Number	0
P1299	depicted by	0
P1300	bibcode	0
P1301	number of elevators	32
P1302	primary destinations	0
P1303	instrument	0
P1304	central bank	0
P1305	Skyscraper Center ID	0
P1307	Swiss parliament identifier	0
P1308	officeholder	0
P1309	EGAXA identifier	0
P131	located in the administrative territorial entity	0
P1310	statement disputed by	0
P1311	lostbridges.org ID	0
P1312	has facet polytope	0
P1313	office held by head of government	0
P1314	number of spans	986
P1315	People Australia identifier	0
P1316	SMDB ID	0
P1317	floruit	1470
P1318	proved by	0
P1319	earliest date	15
P1320	OpenCorporates ID	0
P1321	place of origin (Switzerland)	0
P1322	dual to	0
P1323	Terminologia Anatomica 98	0
P1324	source code repository	0
P1325	external data available at	0
P1326	latest date	6
P1327	professional or sports partner	0
P1329	phone number	0
P1330	MusicBrainz instrument ID	0
P1331	PACE member ID	0
P1332	coordinate of northernmost point	114
P1333	coordinate of southernmost point	112
P1334	coordinate of easternmost point	112
P1335	coordinate of westernmost point	113
P1336	territory claimed by	0
P1338	EPSG ID	0
P1339	number of injured	147
P134	has dialect	0
P1340	eye color	0
P1341	Italian Chamber of Deputies ID	0
P1342	number of seats	185
P1343	described by source	0
P1344	participant of	0
P1345	number of victims	7
P1346	winner	0
P1347	military casualty classification	0
P1348	AlgaeBase URL	0
P1349	ploidy	0
P135	movement	0
P1350	number of matches played	19
P1351	number of points/goals scored	6
P1352	ranking	2296
P1353	original spelling	0
P1354	shown with features	0
P1355	wins	0
P1356	losses	0
P1357	matches/games drawn/tied	0
P1358	points for	0
P1359	number of points/goals conceded	1
P136	genre	0
P1360	Monte Carlo Particle Number	0
P1362	Theaterlexikon der Schweiz online ID	0
P1363	points/goal scored by	0
P1364	ITTF ID	0
P1365	replaces	0
P1366	replaced by	0
P1367	BBC Your Paintings artist identifier	0
P1368	LNB identifier	0
P1369	Iranian National Heritage registration number	0
P137	operator	0
P1370	IHSI ID	0
P1371	ASI Monument ID	0
P1372	binding of software library	0
P1373	daily ridership	6
P1375	NSK identifier	0
P1376	capital of	0
P1377	MTR station code	0
P1378	China railway TMIS station code	0
P138	named after	0
P1380	uglybridges.com ID	0
P1381	bridgehunter.com ID	0
P1382	coincident with	0
P1383	contains settlement	0
P1385	Enciclopédia Açoriana ID	0
P1386	Japanese High School Code	0
P1387	political alignment	0
P1388	German regional key	0
P1389	product certification	0
P1390	match time of score (minutes)	0
P1391	Index Fungorum ID	0
P1392	ComicBookDB ID	0
P1393	proxy	0
P1394	Glottolog code	0
P1395	National Cancer Institute ID	0
P1396	Linguasphere code	0
P1397	State Catalogue of Geographical Names identifier (Russia)	0
P1398	replaced by structure, structure replaces	0
P1399	convicted of	0
P14	highway marker	0
P140	religion	0
P1400	FCC Facility ID	0
P1401	bug tracking system	0
P1402	Foundational Model of Anatomy ID	0
P1403	original combination	0
P1404	World Glacier Inventory ID	0
P1406	script directionality	0
P1407	MusicBrainz series ID	0
P1408	licensed to broadcast to	0
P1409	Cycling Archives Cyclist ID	0
P141	IUCN conservation status	0
P1410	number of seats of the organization in legislature	22
P1411	nominated for	0
P1412	languages spoken or written	0
P1413	SFDb ID (OBSOLETE), Swedish Film Database id (OBSOLETE)	0
P1414	GUI toolkit or framework	0
P1415	Oxford Biography Index Number	0
P1416	affiliation	0
P1417	Encyclopædia Britannica Online ID	0
P1418	orbits completed	253
P1419	shape	0
P1420	taxon synonym	0
P1421	GRIN URL	0
P1422	Sandrart.net person ID	0
P1423	template's main topic	0
P1424	topic's main template	0
P1425	ecoregion (WWF)	0
P1427	journey origin	0
P1428	Lost Art-ID	0
P1429	pet	0
P143	imported from	0
P1430	OpenPlaques subject identifier	0
P1431	executive producer	0
P1432	b-side	0
P1433	published in	0
P1434	describes the fictional universe	0
P1435	heritage status	0
P1436	collection or exhibition size	23
P1437	plea	0
P1438	Jewish Encyclopedia ID (Russian)	0
P1439	Norsk filmografi ID	0
P144	based on	0
P1440	Fide ID	0
P1441	present in work	0
P1442	image of grave	0
P1443	score method	0
P1444	journey destination	0
P1445	fictional universe described in	0
P1446	number of missing	8
P1447	Sports Reference ID	0
P1448	official name	0
P1449	nickname	0
P1450	Sandbox Monolingual text	0
P1451	motto text	0
P1453	catholic.ru identifier	0
P1454	legal form	0
P1455	list of works	0
P1456	list of monuments	0
P1457	absolute magnitude	6
P1458	color index	6
P1459	Cadw Building ID	0
P1460	NIEA building ID	0
P1461	Patientplus ID	0
P1462	standards body	0
P1463	PRDL Author ID	0
P1464	category for people born here	0
P1465	category for people who died here	0
P1466	WALS lect code	0
P1467	WALS genus code	0
P1468	WALS family code	0
P1469	FIFA player code	0
P1470	maximum glide ratio	8
P1471	reporting mark	0
P1472	Commons Creator page	0
P1473	Nupill Literatura Digital - Author	0
P1474	Nupill Literatura Digital - Document	0
P1476	title	0
P1477	birth name	0
P1478	has immediate cause	0
P1479	has contributing factor	0
P1480	sourcing circumstances	0
P1481	vici.org ID	0
P1482	Stack Exchange tag	0
P1483	kulturnoe-nasledie.ru ID	0
P149	architectural style	0
P15	road map	0
P150	contains administrative territorial entity	0
P1529	Glad identifier	0
P1531	parent(s) of this hybrid	0
P1532	country for sport	0
P1533	family name identical to this first name	0
P1534	end cause	0
P1535	used by	0
P1536	immediate cause of	0
P1537	contributing factor of	0
P1538	number of households	25
P1539	female population	49
P154	logo image	0
P1540	male population	49
P1541	Cycling Quotient identifier	0
P1542	cause of	0
P1543	monogram	0
P1544	Federal Register Document Number	0
P1545	series ordinal	0
P1546	motto	0
P1547	depends on	0
P1548	maximum Strahler number	61
P1549	demonym	0
P155	follows	0
P1550	Orphanet ID	0
P1551	Exceptional heritage of Wallonia identifier	0
P1552	has quality	0
P1553	Yandex.Music ID	0
P1554	UBERON ID	0
P1555	Executive Order number	0
P1556	author ID	0
P1557	manifestation of	0
P1558	tempo marking	0
P1559	name in native language	0
P156	followed by	0
P1560	given name version for other gender	0
P1561	number of survivors	50
P1562	AllMovie movie ID	0
P1563	MacTutor id (biographies)	0
P1564	At the Circulating Library ID	0
P1565	Enciclopedia de la Literatura en México ID	0
P1566	GeoNames ID	0
P1567	NIS/INS code	0
P1568	domain	0
P1569	number of edges	12
P157	killed by	0
P1570	number of vertices	9
P1571	codomain	0
P1573	BBC Genome identifier	0
P1574	exemplar of	0
P1575	RISS catalog	0
P1576	lifestyle	0
P1577	Gregory–Aland–Number	0
P1578	Gmelin number	0
P1579	Beilstein Registry Number	0
P158	seal image	0
P1580	University of Barcelona authority ID	0
P1581	official blog	0
P1582	natural product of taxon	0
P1583	MalaCards ID	0
P1584	Pleiades identifier	0
P1585	Brazilian municipality code	0
P1586	Catalan object of cultural interest ID	0
P1587	Slovene Cultural Heritage Register ID	0
P1588	Desa code of Indonesia	0
P1589	deepest point	0
P159	headquarters location	0
P1590	number of casualties	14
P1591	defendant	0
P1592	prosecutor	0
P1593	defender	0
P1594	judge	0
P1595	charge	0
P1596	penalty	0
P1598	consecrator	0
P1599	Cambridge Alumni Database ID	0
P16	highway system	0
P1600	code Inventari del Patrimoni Arquitectònic de Catalunya	0
P1601	Esperantist ID	0
P1602	BBC Your Paintings venue identifier	0
P1603	number of cases	7
P1604	biosafety level	0
P1605	has natural reservoir	0
P1606	natural reservoir of	0
P1607	Dialnet author ID	0
P1608	Dialnet book	0
P1609	Dialnet journal	0
P161	cast member	0
P1610	Dialnet article	0
P1611	NATO code for grade	0
P1612	Commons Institution page	0
P1613	IRC channel	0
P1614	History of Parliament ID	0
P1615	CLARA-ID	0
P1616	SIREN number	0
P1617	BBC Things identifer	0
P1618	sport number	0
P1619	date of official opening	6591
P162	producer	0
P1620	plaintiff	0
P1621	detail map	0
P1622	drives on the	0
P1624	MarineTraffic Port ID	0
P1625	has melody	0
P1626	Thai cultural heritage ID	0
P1627	Ethnologue.com code	0
P1628	equivalent property	0
P1629	subject item of this property	0
P163	flag	0
P1630	formatter URL	0
P1631	China Vitae ID	0
P1632	Hermann–Mauguin notation	0
P1635	religious name	0
P1636	date of baptism in early childhood	404
P1637	undercarriage	0
P1638	working title	0
P1639	pendant of	0
P1640	curator	0
P1641	port	114
P1642	acquisition transaction	0
P1643	departure transaction	0
P1644	EgliseInfo ID	0
P1645	NIST/CODATA ID	0
P1646	mandatory qualifier	0
P1647	subproperty of	0
P1648	Dictionary of Welsh Biography ID	0
P1649	KMDb person ID	0
P1650	BBF identifier	0
P1651	YouTube video identifier	0
P1652	referee	0
P1653	TERYT municipality code	0
P1654	wing configuration	0
P1655	station number	0
P1656	unveiled by	0
P1657	MPAA film rating	0
P1658	number of faces	3
P1659	see also	0
P166	award received	0
P1660	has index case	0
P1661	Alexa rank	6
P1662	DOI Prefix	0
P1663	ProCyclingStats ID	0
P1664	Cycling Database ID	0
P1665	Chess Games ID	0
P1666	Chess Club ID	0
P1667	TGN identifier	0
P1668	ATCvet	0
P1669	CONA  identifier	0
P167	structure replaced by	0
P1670	LAC identifier	0
P1671	route number	0
P1672	this taxon is source of	0
P1673	general formula	0
P1674	number confirmed	3
P1675	number probable	0
P1676	number suspected	0
P1677	index case of	0
P1678	has vertex figure	0
P1679	BBC Your Paintings artwork identifier	0
P1680	subtitle	0
P1683	quote	0
P1684	inscription	0
P1685	Pokémon browser number	0
P1686	for work	0
P1687	Wikidata property	0
P1688	AniDB identifier	0
P1689	central government debt as a percent of GDP	1
P169	chief executive officer	0
P1690	ICD-10-PCS	0
P1691	operations and procedures key (OPS)	0
P1692	ICD-9-CM	0
P1693	Terminologia Embryologica (TE)	0
P1694	Terminologia Histologica (TH)	0
P1695	NLP identifier	0
P1696	inverse of	0
P1697	total valid votes	31
P1699	SkyscraperPage building id	0
P17	country	0
P170	creator	0
P1700	SIPA identifier	0
P1702	IGESPAR identifier	0
P1703	pollination	0
P1704	pollenizer	0
P1705	native label	0
P1706	together with	0
P1707	DAAO identifier	0
P1708	LfDS object ID	0
P1709	equivalent class	0
P171	parent taxon	0
P1710	Sächsische Biografie	0
P1711	British Museum person-institution	0
P1712	Metacritic ID	0
P1713	biography at the Bundestag of Germany	0
P1714	Journalisted ID	0
P1715	RKD/ESD identifier (Slovenia)	0
P1716	brand	0
P1717	SANDRE ID	0
P172	ethnic group	0
P1721	pinyin transliteration	0
P1725	beats per minute	91
P1726	Florentine musea Inventario 1890  ID	0
P1727	Flora of North America taxon ID	0
P1728	AllMusic artist ID	0
P1729	AllMusic album ID	0
P1730	AllMusic song ID	0
P1731	Fach	0
P1732	Naturbase ID	0
P1733	Steam ID	0
P1734	oath of office date	0
P1735	Comedien.ch identifier	0
P1736	Information Center for Israeli Art artist identifier	0
P1738	Merck Index monograph	0
P1739	CiNii book identifer	0
P1740	category for films shot at this location	0
P1741	GTAA id	0
P1743	Bradley and Fletcher checklist number	0
P1744	Agassiz et al checklist number	0
P1745	VASCAN ID	0
P1746	ZooBank nomenclatural act	0
P1747	Flora of China ID	0
P1748	NCI Thesaurus ID	0
P1749	Parlement & Politiek ID	0
P175	performer	0
P1750	name day	0
P1751	BBC Your Paintings collection identifier	0
P1752	scale	22
P1753	list related to category	0
P1754	category related to list	0
P1755	Aviation Safety Network accident description ID	0
P176	manufacturer	0
P1760	Aviation Safety Network Wikibase Occurrence	0
P1761	Watson & Dallwitz family ID	0
P1762	Hornbostel-Sachs classification	0
P1763	National Pipe Organ Register identifier	0
P1764	Flemish organization for Immovable Heritage relict ID	0
P1766	place name sign	0
P1769	denkXweb identifier	0
P177	crosses	0
P1770	Romania LMI code	0
P1771	Integrated Postsecondary Education Data System identifier	0
P1772	USDA PLANTS ID	0
