P1451	motto text	1331
P1453	catholic.ru identifier	2
P1454	legal form	6914
P1455	list of works	61
P1456	list of monuments	6610
P1457	absolute magnitude	6
P1458	color index	6
P1459	Cadw Building ID	2755
P1460	NIEA building ID	802
P1461	Patientplus ID	773
P1462	standards body	539
P1463	PRDL Author ID	415
P1464	category for people born here	16703
P1465	category for people who died here	8407
P1466	WALS lect code	4
P1467	WALS genus code	2
P1468	WALS family code	1
P1469	FIFA player code	10805
P1470	maximum glide ratio	8
P1471	reporting mark	42
P1472	Commons Creator page	16841
P1473	Nupill Literatura Digital - Author	235
P1474	Nupill Literatura Digital - Document	8
P1476	title	41702
P1477	birth name	11726
P1478	has immediate cause	53
P1479	has contributing factor	29
P1480	sourcing circumstances	0
P1481	vici.org ID	34
P1482	Stack Exchange tag	1819
P1483	kulturnoe-nasledie.ru ID	1535
P149	architectural style	20643
P15	road map	3372
P150	contains administrative territorial entity	870199
P1529	Glad identifier	131
P1531	parent(s) of this hybrid	166
P1532	country for sport	333
P1533	family name identical to this first name	682
P1534	end cause	1
P1535	used by	101
P1536	immediate cause of	4
P1537	contributing factor of	4
P1538	number of households	25
P1539	female population	9
P154	logo image	10729
P1540	male population	9
P1541	Cycling Quotient identifier	232
P1542	cause of	959
P1543	monogram	14
P1544	Federal Register Document Number	1
P1545	series ordinal	962
P1546	motto	24
P1547	depends on	49
P1548	maximum Strahler number	61
P1549	demonym	659
P155	follows	210167
P1550	Orphanet ID	24
P1551	Exceptional heritage of Wallonia identifier	68
P1552	has quality	89
P1553	Yandex.Music ID	196
P1554	UBERON ID	448
P1555	Executive Order number	36
P1556	author ID	570
P1557	manifestation of	27
P1558	tempo marking	23
P1559	name in native language	3313
P156	followed by	209412
P1560	given name version for other gender	641
P1561	number of survivors	49
P1562	AllMovie movie ID	24385
P1563	MacTutor id (biographies)	2346
P1564	At the Circulating Library ID	2
P1565	Enciclopedia de la Literatura en México ID	332
P1566	GeoNames ID	639510
P1567	NIS/INS code	628
P1568	domain	11
P1569	number of edges	12
P157	killed by	438
P1570	number of vertices	9
P1571	codomain	22
P1573	BBC Genome identifier	9
P1574	exemplar of	107
P1575	RISS catalog	4
P1576	lifestyle	592
P1577	Gregory–Aland–Number	1776
P1578	Gmelin number	9
P1579	Beilstein Registry Number	309
P158	seal image	2236
P1580	University of Barcelona authority ID	2
P1581	official blog	89
P1582	natural product of taxon	164
P1583	MalaCards ID	1
P1584	Pleiades identifier	934
P1585	Brazilian municipality code	46
P1586	Catalan object of cultural interest ID	915
P1587	Slovene Cultural Heritage Register ID	1550
P1588	Desa code of Indonesia	46643
P1589	deepest point	10
P159	headquarters location	52987
P1590	number of casualties	14
P1591	defendant	6
P1592	prosecutor	7
P1593	defender	1
P1594	judge	9
P1595	charge	5
P1596	penalty	260
P1598	consecrator	123
P1599	Cambridge Alumni Database ID	3453
P16	highway system	19022
P1600	code Inventari del Patrimoni Arquitectònic de Catalunya	9735
P1601	Esperantist ID	140
P1602	BBC Your Paintings venue identifier	8
P1603	number of cases	8
P1604	biosafety level	1
P1605	has natural reservoir	2
P1606	natural reservoir of	1
P1607	Dialnet author ID	45
P1608	Dialnet book	1
P1609	Dialnet journal	1
P161	cast member	604244
P1610	Dialnet article	2
P1611	NATO code for grade	35
P1612	Commons Institution page	2519
P1613	IRC channel	121
P1614	History of Parliament ID	5094
P1615	CLARA-ID	3468
P1616	SIREN number	44
P1617	BBC Things identifer	22
P1618	sport number	159
P1619	date of official opening	6593
P162	producer	45156
P1620	plaintiff	5
P1621	detail map	84
P1622	drives on the	12
P1624	MarineTraffic Port ID	3
P1625	has melody	2
P1626	Thai cultural heritage ID	52
